ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Liver, Hepatocellular Cancer, Regulatory T (Treg) cell	Liver, Hepatocellular Cancer, Regulatory T (Treg) cell	6/92	362/5648	0.5435921296309658	0.6800169546996755	0.549112465222521	CD79B/TMEM154/POU2F2/CD83/RAB11FIP1/LAT2	6
Large intestine, Normal, Paneth cell	Large intestine, Normal, Paneth cell	4/92	242/5648	0.5606937096340481	0.6800169546996755	0.549112465222521	CD37/LAPTM5/CD83/LAT2	4
Lung, Normal, FOXN4+ cell	Lung, Normal, FOXN4+ cell	1/92	50/5648	0.5616626634884196	0.6800169546996755	0.549112465222521	CENPM	1
Lung, Normal, SLC16A7+ cell	Lung, Normal, SLC16A7+ cell	6/92	371/5648	0.568233345707948	0.6800169546996755	0.549112465222521	ORAI2/NEIL1/TMEM156/SNX29/METTL21A/QRSL1	6
Embryonic prefrontal cortex, Normal, Astrocyte	Embryonic prefrontal cortex, Normal, Astrocyte	2/92	119/5648	0.5819728859874761	0.6852261399529961	0.5533188729252743	SYPL1/IDI1	2
Brain, Normal, Oligodendrocyte	Brain, Normal, Oligodendrocyte	1/92	59/5648	0.6224351410184282	0.7212343697515121	0.5823954535844943	RACK1	1
Liver, Hepatocellular Cancer, Exhausted CD8+ T cell	Liver, Hepatocellular Cancer, Exhausted CD8+ T cell	3/92	209/5648	0.6684007979493187	0.7623946601609417	0.6156323139006883	RHOH/PARP14/LAT2	3
Fetal gonad, Normal, Gonadal mitotic phase fetal germ cell	Fetal gonad, Normal, Gonadal mitotic phase fetal germ cell	2/92	148/5648	0.7004244021007633	0.7866304823593188	0.6352026966419877	RPS15A/RAB11FIP1	2
Lung, Normal, Ciliated cell	Lung, Normal, Ciliated cell	1/92	91/5648	0.7783457124888384	0.8582666277010828	0.6930487548847964	ANKRD37	1
Fetal gonad, Normal, Mitotic fetal germ cell	Fetal gonad, Normal, Mitotic fetal germ cell	5/92	399/5648	0.7887009293222681	0.8582666277010828	0.6930487548847964	ST6GAL1/IL4R/RPL13/MGAT5/RPS15A	5
Liver, Normal, Exhausted CD4+ T cell	Liver, Normal, Exhausted CD4+ T cell	1/92	97/5648	0.7994812422421045	0.8582666277010828	0.6930487548847964	RAB11FIP1	1
Fetal gonad, Normal, Migration phase fetal germ cell	Fetal gonad, Normal, Migration phase fetal germ cell	1/92	101/5648	0.8124510837895649	0.8595496973425831	0.6940848313076374	ST6GAL1	1
Liver, Normal, Liver bud hepatic cell	Liver, Normal, Liver bud hepatic cell	1/92	109/5648	0.8359522549097131	0.8717787801201294	0.7039597936081794	IDI1	1
Blood, Normal, Plasmacytoid dendritic cell	Blood, Normal, Plasmacytoid dendritic cell	2/92	216/5648	0.8732211732102589	0.8920165174599236	0.7203017300325267	LY9/CD83	2
Fetal gonad, Normal, Leydig cell	Fetal gonad, Normal, Leydig cell	2/92	220/5648	0.8797971131111576	0.8920165174599236	0.7203017300325267	ZCCHC7/RPS15A	2
Fetal gonad, Normal, Oogenesis phase fetal germ cell	Fetal gonad, Normal, Oogenesis phase fetal germ cell	3/92	344/5648	0.9258290004362882	0.9258290004362882	0.7476052490905859	ORAI2/RRAS2/STAG3	3
